"","sysrev_id","analysis_id","adriencomte.pro","deviveytia","title","abstract"
"284",95440559,101703,TRUE,FALSE,"Blue economy policy for sustainable fisheries in Indonesia","Climate change has detrimental impacts on the ocean such as ocean acidification, the occurrence of extreme weather, increasing frequency of storms, and sea level and temperature rise, which will threaten the marine ecosystem existence and threaten the marine economic potential. Indonesia, with 6.4 million km(2) area of waters, hold enormous fisheries potential wealth and enormous potential economic value. Data from the Marine and Fisheries Ministry notes that the marine economic potential reaches IDR 3000 trillion and there only IDR 291.8 trillion of the total potency that already gained. Sustainable fisheries development must be in accordance with the development principles that benefit the present generation but still pay attention to sustainability for future generations. Blue economy policies and programs become the right and effective approach for marine development to encourage optimal and sustainable utilization and exploitation of fisheries resources. This research is a legal research by using statute approach to relevant legal materials. This study aims to integrate the blue economy principle in to marine and fisheries policies and reconstruct the existing policies. The result of this study is a proposed model of blue economy-based policy to get a sustainable national marine and fisheries management."
"290",95440565,5867,TRUE,FALSE,"Improving Climate Literacy within Extension by Understanding Diverse Climate-Related Informational Needs","Increasing literacy among Extension professionals in every sector regarding potential regional impacts and adaptation strategies related to climate change is key to producing high-quality relevant programs addressing climate-related risks. Professionals in the forestry, agriculture, livestock, and coastal resources sectors attended the Southeast Region Extension Climate Academy in fall 2014. Participant surveys and interviews suggested that some of the agents most confused about climate change gained the most from the workshop. Further, focusing on region- and sector-specific information made climate change relevant to participants who were initially uninterested in addressing the topic."
"291",95440566,9214,FALSE,TRUE,"Inequality in the Economic Impacts from Climate Shocks in Fisheries: The Case of Harmful Algal Blooms","Climate impacts disproportionately affect people that are most vulnerable and least able to adapt. The extent to which these equity impacts extend to fishing communities in the developed world is a question that has received surprisingly little attention. Here we explore the distributional impacts of a climate shock in one of the largest and most valuable fisheries on the West Coast of the United States. Specifically, we examine whether a series of two harmful algal blooms (HABs), occurring during the 2014-2016 Northeast Pacific Marine Heatwave, differentially affected small and large vessels in the commercial California Dungeness crab fishery. The HAB events were managed with localized fishery closures in response to elevated levels of the HAB toxin, domoic acid, in crab tissue. We find evidence that large vessels had a greater ability to mitigate losses from the HAB events. Thus, the proportion of total revenue going to small-vessel operators and the proportion of small-vessel participation in the fishery fell in response to the HAB events in several California fishing ports. Our results, therefore, offer empirical evidence that climate impacts on fishing communities are not uniform and offer insights into potential alternative adaptation strategies for different ocean user groups."
"298",95440574,9877,TRUE,FALSE,"Living with the Risks of Cyclone Disasters in the South-Western Coastal Region of Bangladesh","Bangladesh is one of the most disaster prone countries in the world. Cyclone disasters that affect millions of people, destroy homesteads and livelihoods, and trigger migration are common in the coastal region of Bangladesh. The aim of this article is to understand how the coastal communities in Bangladesh deal with the continuous threats of cyclones. As a case study, this study investigates communities that were affected by the Cyclone Sidr in 2007 and Cyclone Aila in 2009, covering 1555 households from 45 coastal villages in the southwestern region of Bangladesh. The survey method incorporated household based questionnaire techniques and community based focus group discussions. The pre-event situation highlights that the affected communities were physically vulnerable due to the strategic locations of the cyclone shelters nearer to those with social supreme status and the location of their houses in relatively low-lying lands. The victims were also socio-economically vulnerable considering the high rate of illiteracy, larger family size, no ownership of land, and extreme poverty. They were mostly day labourers, farmers, and fishermen. Post-event situation reveals that the victims' houses and livelihoods were severely damaged or destroyed. Most victims were forced to shift their occupations (e.g., from farmers to fishermen), and many became unemployed. They also became heavily dependent on micro-credits and other forms of loans. A significant number of people were displaced and migrated to large urban agglomerations in search of livelihoods to maintain their families back in the affected villages. Migration was primarily undertaken as an adaptation strategy."
"302",95440578,289035,TRUE,FALSE,"Multinational training programmes in marine environmental science","The global training programmes of the United Nations' system and of the International Ocean Institute Network are described. The programmes have been developed in the post-UNCLOS and UNCED eras, and in response to the needs of developing countries in human resource development in a number of areas, including coastal zone management (the TRAIN-SEA-COAST Programme), and climate change (CC:TRAIN). The UN programmes use a common methodology, the TRAIN-X methodology, and common principles of quality control, production of high quality training materials and networking of course modules. The IOI programmes are less rigid in format to those of the UN, but address the same needs. These global programmes represent a new era of cooperation among donors, training institutions and developing countries and are intended to reduce duplication of effort and to take advantage of the modern era of electronic communications in the area of training. While not the only examples of global training initiatives, they represent a concerted effort to address urgently needed human resources needs of developing countries in the marine sector."
"306",95440582,250768,TRUE,FALSE,"Contextualisation of salinisation and adaptation preferences in the coastal areas of Bangladesh: Bringing together farmers' salinity perspectives into place-based policy initiatives","The salinisation of coastal areas in Bangladesh reduces livelihood options for rice intensification but offers a more suitable environment for shrimp and salt farming. Thus, farmers' salinity perspectives might vary resulting in contested land use settings that may create uncertainties for policymakers in planning adaptation initiatives to address salinisation. The aim of this study was to examine co-located farmers' salinisation perspectives (e.g., trends, causes, impacts), and to demonstrate its potential for place-based policy initiatives and research prioritisation for sustainable agricultural development in the coastal areas. Primary data were collected from randomly selected rice, shrimp and salt prodcrs/farmers in two coastal sub-districts through semi-structured interviews at the household level. Furthermore, key informant interviews were conducted with personnel from research and extension organisations at national and local levels to complement the survey results. Perceptions of the salinity extent contrasted starkly among the various types of farmers. While the majority of rice farmers (87\%) perceived increased salinity, just over half of the salt and shrimp farmers perceived that salinity had decreased over the last 20 years. There was also a lack of agreement on the causes of salinity, with most rice farmers (62\%) indicating anthropogenic factors as the main causes, while the majority of shrimp and salt farmers focused more on natural factors. Rice farmers (42\%) also perceived a reduction in yield followed by less income (30\%) under saline conditions, while shrimp farmers (70\%) and salt farmers (55\%) perceived production gains when high salinity prevailed. The adaptation preferences to combat salinity were also at odds between different types of farmers, with rice farmers having adaptation preferences for the development of salinity-tolerant rice varieties that should have greater tolerance at the reproductive stages, while shrimp and salt farmers' preferences were for engineering-based solutions to prevent seawater inundation during cyclones. Thus, research and extension services on integrated coastal resources management need to consider tailoring their approach to accommodate varied livelihood perspectives of salinity, as this place-based approach could accelerate the pace of achieving the sustainable development goals (SDGs), such as SDG-1, SDG-2 and SDG-3 due to a more strategic targeting of farmer types and their context."
"309",95440585,4981,TRUE,FALSE,"The role of fish and fisheries in recovering from natural hazards: Lessons learned from Vanuatu","Coastal fisheries provide staple food and sources of livelihood in Pacific Island countries, and securing a sustainable supply is recognised as a critical priority for nutrition security. This study sought to better understand the role of fish for Pacific Island communities during disasters and in disaster recovery. To evaluate community impacts and responses after natural disasters, focus group discussions were held with men and women groups at ten sites across Shefa, Tafea, Malampa and Sanma provinces in Vanuatu. The combined impacts of category 5 Tropical Cyclone Pam (TC-Pam) in March 2015 and prolonged El-Nino induced drought have had a profound impact across much of Vanuatu. Terrestrial systems had been disproportionately impacted with substantial shortages in drinking water, garden crops, cash crops and damage to infrastructure. Localized impacts were noted on marine environments from TC-Pam and the drought, along with an earthquake that uplifted reef and destroyed fishing grounds in Malampa province. Communities in Malampa and Shefa provinces also noted a crown-of-thorns outbreak that caused coral mortality. The significant reduction in terrestrial-based food and income generation capacity generally led to increased reliance on marine resources to cope and a shift in diets from local garden food to rice. However, limited market access, lack of fishing skills and technology in many sectors of the community reduced the capacity for marine resources to support recovery. A flexible management approach allowed protected areas and species to be utilized as reservoirs of food and income when temporarily opened to assist recovery. These findings illustrate that fish and fisheries management is at the center of disaster preparedness and relief strategies in remote Pacific Island communities. High physical capital (e.g. infrastructure, water tanks and strong dwellings) is key for disaster preparedness, but supporting community social capital for the purpose of natural resource management and human capital for diverse adaptation skills can also improve community resilience. Recognizing the humanitarian value that well managed fisheries resources and skilled fishers can play to disaster relief adds another dimension to the imperative of improving management of coastal fisheries and aligning policies across sectors."
"310",95440586,10939,FALSE,TRUE,"Governance fit for climate change in a Caribbean coastal-marine context","Coastal-marine systems in small island developing states of the Caribbean are highly vulnerable to both current and future climate change. Societies navigate these changes in part through processes of governance and the institutions through which governance takes place. The concept of institutional adaptive capacity is used to explore how governance processes and institutional arrangements can be adapted to match the scale and extent of climate change in a case study of the Soufriere Marine Management Area, St. Lucia. Institutional adaptive capacity is analyzed based on the following factors: institutional variety, analytical deliberation and nesting and networks. The analysis is based on 36 semi-structured interviews conducted with key informants from NGOs, cooperatives, management authorities and government agencies. The findings suggest that governance to address climate change in the case study is contingent upon developing holistic, integrated management systems, improving flexibility in existing collaborative decision making processes, augmenting the capacity of local management authorities with support from higher-level government, exploring opportunities for private-social partnerships, and developing adequate social-environmental monitoring programs. These findings have potential implications and lessons for similar settings throughout the Caribbean. (C) 2014 Elsevier Ltd. All rights reserved."
"314",95440590,240436,FALSE,TRUE,"Managing extreme natural disasters in coastal areas","Extreme natural hazards, particularly the hydro-meteorological disasters, are emerging as a cause of major concern in the coastal regions of India and a few other developing countries. These have become more frequent in the recent past, and are taking a heavy toll of life and livelihoods. Low level of technology development in the rural areas together-with social, economic and gender inequities enhance the vulnerability of the largely illiterate, unskilled, and resource-poor fishing, farming and landless labour communities. Their resilience to bounce back to pre-disaster level of normality is highly limited. For the planet Earth at crossroads, the imminent threat, however, is from a vicious spiral among environmental degradation, poverty and climate change-related natural disasters interacting in a mutually reinforcing manner. These, in turn, retard sustainable development, and also wipe out any small gains made thereof. To counter this unacceptable trend, the M.S. Swaminathan Research Foundation has developed a biovillage paradigm and rural knowledge centres for ecotechnological and knowledge empowerment of the coastal communities at risk. Frontier science and technologies blended with traditional knowledge and ecological prudence result in ecotechnologies with pro-nature, pro-poor and pro-women orientation. The rural communities are given training and helped to develop capacity to adopt ecotechnologies for market-driven eco-enterprises. The modern information and communication-based rural knowledge centres largely operated by trained semi-literate young women provide time- and locale-specific information on weather, crop and animal husbandry, market trends and prices for local communities, healthcare, transport, education, etc. to the local communities. The ecotechnologies and time- and locale-specific information content development are need-based and chosen in a `bottom-up' manner. The use of recombinant DNA technology for genetic shielding of agricultural crops for coastal regions against abiotic stress (induced by the water- and weather-related natural disasters), strengthens the foundations of sustainable agriculture undertaken by the resource poor small farm families."
"336",95440612,111548,TRUE,FALSE,"Adaptive business arrangements and the creation of social capital: Towards small-scale fisheries resilience in different European geographical areas","European small-scale fisheries are confronted with several challenges, notably a decrease in the number of people engaged in capture fishing, growing competition from less expensive extra-European Union markets, rising operational costs, strict regulations and the depletion of fishing stocks. Many small-scale fishers must adapt to change to maintain or increase their income using different business strategies. In this respect, we argue that new and diversified institutional arrangements combined with building social capital can help reach long-term economic sustainability for small-scale fisheries businesses, as well as the social-ecological resilience of coastal areas. In order to understand and analyse the multiplicity of strategies applied by small-scale fishers-including expansion towards non-productivist activities, this article examines the role of new institutional arrangements based on small-scale, traditional, quality-orientated, multifunctional business strategies and non-fishing activities. Using a case-study approach, we analyse-in three different European fishery contexts (Greece, Italy and the UK)-how the interplay between building adaptive arrangements and the creation of social capital in selected small-scale fisheries provides relevant prerequisites for resilience."
"346",95440622,12156,TRUE,FALSE,"Wave of change: Coping with catastrophe","We described and analyzed the capacity of a community to adapt to the impacts of a tsunami on their livelihoods. We looked at the community's responses to the impacts of the tsunami and the factors that influenced its adaptive capacity. Based on this analysis, we present a number of lessons learned that are meant to enhance the adaptive capacity and resilience of communities to the impacts of sudden disasters, such as a tsunami, or a slow-building catastrophe, such as global warming. The study community consisted of two village groups in an island community named Koh Yao Noi in southern Thailand that sustained losses to its resources and means of livelihood from the Indian Ocean tsunami of 26 December 2004. The Intergovernmental Organization of the Network of Aquaculture Centres in Asia-Pacific selected the community as a study site in order to gain a border understanding of the effects of external assistance provided for livelihoods recovery and long-term development. The various actions by the community demonstrate a longer-term view of rehabilitation than the immediate benefits available from aid. During the rehabilitation period, the community exhibited self-reliance, broad participation in decision making, trustworthiness, the ability to find opportunities opened up by the assistance without being opportunistic, and concern for the worse-off among their ranks. Collective action characterized the way the community utilized and took advantage of the opportunities presented by external assistance. An analysis of the factors that contributed to the community's resilience and adaptive capacities indicates the importance of social capital or assets. This finding was the basis for the three lessons drawn from the study: (1) a strong social asset enabled the community to effectively mitigate the impacts of the disaster on their other livelihood assets, (2) resiliency and better adaptive capacity can be enhanced by the creation of diverse social networks, and (3) resiliency can be increased by developing redundancy to manage risk. These lessons suggested a number of practical measures, namely fostering organized groups, mutual assistance or self-help clusters, and formal associations; facilitating the establishment of functional linkages, working relations, and communication links between organized community groups and appropriate external bodies but in a way in which the relations are a partnership rather than a donor-recipient relationship; and enhancing, with training and other measures, group decision-making skills in planning and solving community problems to make the community a stronger partner to the local government as well as to avoid being overly dependent on government for decisions on community matters. The broader policy implications of the study include a set of recommendations for developing postdisaster adaption measures based on local livelihoods and livelihood assets and for integrating community-level adaptation activities into national policy processes."
"347",95440623,225539,TRUE,FALSE,"Singapore's Lost Coast: Land Reclamation, National Development and the Erasure of Human and Ecological Communities, 1822-Present","Beginning during the colonial period, and greatly accelerating following independence in 1965, Singapore has used land reclamation to increase its national domain by nearly 25 per cent. The construction of new land was a key component of the nation's celebrated rise from `third world' to `first world' in the postcolonial period. But the economic benefits of remaking Singapore's coastline came at significant ecological and social costs. Nearly all of the original shore, and its attendant mangrove forests and natural beaches, were lost. So too were two-thirds of Singapore's coral reefs. While carrying out this reclamation, the state also erased a number of sites at which people made a living from the sea, including indigenous communities on the outer islands, age-old fishing villages, kelongs (large, traditional offshore fishing platforms) and prawn farms. The history of land construction in Singapore offers a number of important insights concerning the relationship between humans and our environments. First, it reveals how the tensions between an ideal situation (a city or state's relationship to other places) and a less than optimum site (its physical environment), when combined with a forceful, proactive government, can bring about immense environmental transformations. Related to that, this case sheds light on the ways in which governments - especially in developing nations can use transformation of terrestrial and marine environments, in the name of progress, as a means of expanding and legitimating their authority. This history also reveals a perhaps unforeseen consequence of bulldozing and burying sites at which humans derived their livelihood from living oceanic resources: the loss of a cultural connection to the sea, based on knowing nature through work. Finally, this history raises the question of how environmental advocates can pursue conservation in a setting like Singapore's shores, which we can no longer consider pristine or natural. That is to say, the ongoing efforts of environmentalists to protect flora and fauna in Singapore's waters speak to the necessity of, and challenges presented by, preserving hybrid (neither entirely natural nor entirely artificial) marine environments."
"354",95440630,285541,FALSE,TRUE,"Causes, Effects, and Remedial Measures of Climate Change in the East Coast of India with Special Reference to the State of Odisha","Climate change has put tremendous impact on the environment in the current scenario. The consequences are extensive consequences on the atmosphere, agronomy, water resources, biome, natural reserves, budget, biodiversity, and social security. Odisha, lying in the Eastern Coast of India connecting the Bay of Bengal, has a stretch of 480Â km of coastline and is always vulnerable to climate change in terms of heavy storm like cyclones, beach erosion, coastal flooding, storm swell, and denudation. This state has scores of agro-climatic sectors which require improvement in the shape of diverse reworking approaches keeping pace with the ongoing scenario of climate change. Adaptation strategies such as agriculture, fisheries and animal husbandry, water, health, and coastal and disaster risk management have been formulated looking at the vulnerability, food security, and other parameters. Major steps have been initiated to mitigate the impact of climate change; still a lot of further strategies need to be dealt with to keep the region safe and disaster free. These include energy, urban development, transport, industries, and waste disposal. Proper attention must be adhered to embracing judicious policies on energy efficiency based on enactment, modifying state building codes and development codes to improve LULC, transportation, and energy productivities, establishment of new renewable energy policies, assortment and related criterions and reinforce multi-segment parameters to cater to the upcoming challenges related to reduction in poverty and increasing the adaptive capacity. Several initiatives have been undertaken in the government, private, and NGO sectors, but still lack of proper vision, appropriate mission, and slow pace of implementation has jeopardized the entire development. Â© 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"367",95440643,265929,TRUE,FALSE,"Ridge to reef to peace and development","Mindanao is known as the food basket of the Philippines with its abundant agri-fishery production. Fertile soil and excellent climate make it as the agri-fishery export zone of the country. Yet, climate change has brought a drastic shift on Mindanaoâ€™s popularity making it exposed to risks associated to natural disaster, such as typhoons, flooding, mudslides and earthquakes. The occurrence of super typhoons in 2011 and 2012 had caused significant damages to agriculture, infrastructure and dwellers. This new normal prompted the Mindanao Development Authority (MinDA) to revolutionise the ridge-to-reef approach through the Mindanao Nurturing Our Waters Program as a holistic and integrated approach to the preservation, utilisation, restoration, rehabilitation and development of natural resources. This study was an attempt to answer the questions: (1) would the ridge-to-reef approach be appropriate for Mindanao with the emergence of a new normal? And (2) what mechanism can aptly implement the approach? This study employed qualitative research using scoping, metasynthesis, focus group discussions and expert panel discussions. Results revealed various environmental issues that impact on economy, land use, energy, agriculture, marine life, health and budget. Many agencies are involved in environment and natural resource management, resulting to overlaps and conflicts. In addressing the challenges, it was revealed that MinDA is effective and credible as a mechanism in steering and providing strategic directions and partnerships among actors. Thus, the out-of-the-box wave of ridge-to-reef approach through the Mindanao Nurturing Our Waters Program is appropriate in Mindanao context under an inclusive and transformative leadership of a subnational agency. Â© Springer India 2015."
"369",95440645,11424,TRUE,FALSE,"Reducing vulnerability to climate change in the Arctic: The case of Nunavut, Canada","Research conducted with the communities of Arctic Bay and Igloolik in Nunavut identified key areas where policy can help Inuit reduce their vulnerability to climate change, focusing on the renewable resource harvesting sector. The policy responses are based on an understanding of policy development and decision making and on an understanding of the processes that shape vulnerability, which in Nunavut comprise the erosion of traditional Inuit knowledge and land-based skills, the weakening of social networks, and a reduction in harvesting flexibility. Policies relating to cultural preservation, wildlife co-management, and harvester support can serve as entry points for influencing these processes. Our recommendations fall within the mandates of the Government of Nunavut and the institutions created under the Nunavut Land Claims Agreement, and they have been identified as policy priorities by communities and Inuit organizations."
"375",95440651,6563,FALSE,TRUE,"Factor influencing fishery-based farmers' perception and their response to climate-induced crisis management.","Time and again, climate change is a global phenomenon; intrinsically affects people and the environment more at the local and the global level when driven anthropogenically. Due to multiple reasons, the coastal region is more vulnerable to ongoing and forthcoming climate change. The study was conducted to develop a framework and to discuss the perception of fishery-based farmers and their response to the climate-induced crisis through their management practices. It is well known that preventing climate change is costly; alternatively, measures can be initiated to mitigate its adverse effects on humans as well as on the ecosystem. The importance of utilizing the internal physical, social, and psychological aspects of a farming community to deal with crisis management efficiently has been unearthed in this study. It is understood that climate-induced crisis management is contributed by psycho-socio-economic factors associated with the farmer and his environment. The computing effects of these exogenous variables may lead to the emergence of hybrid, moribund, socio-economic structures, which may increase the tendency of farmers for vulnerability to climate change. Analysis of these variables affecting crisis management will help to identify and undertake practical approaches to alter the favourable and manipulable variables connected with crisis management. The results are more relevant for farmers, extension professionals, governmental agencies, Non-Government Organizations, and scientists who play a definite role in the management of crisis-induced by climate change."
"376",95440652,156173,TRUE,FALSE,"Evaluating alternative policies for managing an Alaska pollock fishery with climate change","A previous study finds that the average percentage reduction in pollock catch from rising sea surface temperatures (SSTs), which is calculated based on simulated climate scenarios, is about 29\% over a 42-year period (2009-2050). In the present study, we evaluate the seven alternative strategies in the previous study from an economic perspective. To do so, we couple alternative harvest policy simulations using a dynamic computable general equilibrium model for Alaska to assess the regional economic effects of rising SST and to compare the impacts from the alternative policies in terms of regional output, economic welfare, and real gross regional product. We find that the status quo policy performs less well than the alternatives. The policy allowing harvests to be less constrained performs worse. Overall, more conservative policies perform the best from an economic impact perspective. This result is contrasted with the finding in the previous study that the policy that makes downward adjustment to the fishing mortality as the stock size nears the target size performs best from a biological perspective."
"379",95440655,9637,TRUE,FALSE,"Innovative Aquaculture for the Poor to Adjust to Environmental Change in Coastal Bangladesh? Barriers and Options for Progress","More so than wealthier, less nature-dependent social groups, the poor in tropical coastal regions suffer from adverse environmental change and need new income options. With high levels of saltwater intrusion into coastal lands, innovative brackish water aquaculture (BWA) including integrated multi-trophic aquaculture (IMTA) are crucial adaptation options to the expanding marine waters. This article examines how poor Bangladeshi coastal residents view BWA, and what is needed to make BWA a viable and sustainable livelihood for the coastal poor. In sites that are affected by major salinity intrusion, we used a semi-structured questionnaire to interview 120 households. We examine three questions: (1) What kind of aquaculture is currently being undertaken in brackish/saline/coastal waters? (2) Do poor coastal residents see BWA (and, by implication the hitherto fairly unknown IMTA) as a viable and sustainable livelihood? (3) What is needed to make BWA a feasible and promising livelihood in Bangladesh? Our results show both information and perception biases obstruct in particular coastal poor women and men from engaging with innovative BWA. Their knowledge on ecosystem-based aquaculture was scarce and their views of aquaculture were related mainly to previous experiences with shrimp monoculture and its polarizing socio-economic effects. We propose some strategic fields of action to develop innovative BWA that also benefits coastal Bangladesh's poorest people."
"383",95440658,242405,TRUE,FALSE,"The role of women in community resilience to climate change: A case study of an Indigenous Fijian community","Climate change is projected to have wide-ranging effects on natural resources, environment, agriculture and fisheries. The various impacts of climate change pose significant risks to Pacific Island communities and people's livelihoods. A community consists of different groups of people and requires contributions from all members to build community resilience to the impacts of climate change. The Indigenous Fijian (iTaukei) women have skills, knowledge, and unique local and traditional experience that can increase the resilience of the community, however, their voice is not often heard in a patriarchal community. An understanding of gender roles in a community is essential for adaptation to climate change. Fijian communities exhibit elaborate social support system and traditional practices that demonstrate high level of dynamism and institutional support in the community's response to risks. Using semi-structured interviews, focus groups, and participant observations, the study investigated the enabling and inhibiting factors that affect the ability of iTaukei women to contribute to building community resilience. The findings from the study identified that the village women contribute significantly to three key areas of community resilience, particularly social resilience, economic resilience and ecological resilience. The findings also indicated that women face barriers that prevent them from contributing to decision-making on issues related to climate change resilience in the community. The study recommends interventions that are culturally accepted and that also support the role of women in decision-making, while promoting their participation in various climate change forums in the community."
"398",95440673,246362,TRUE,FALSE,"Communicating marine climate change impacts in the Caribbean and Pacific regions","The scientific literature on marine and coastal climate change has proliferated in recent decades. Translating and communicating this evidence in a timely, and accessible manner, is critical to support adaptation, but little is being done to summarise the latest science for decision makers. For Small Island Developing States (SIDS), which are highly vulnerable to marine and coastal climate change impacts, there is an urgent need to make the latest science readily available to inform national policy, leverage climate funding and highlight their vulnerability for international reports and climate negotiations. Climate change report cards are a proven successful way of presenting climate change information in an easily accessible and informative manner. Here we compare the development of marine climate change report cards for Caribbean and Pacific Commonwealth SIDS as a means of translating the latest science for decision makers. Regional engagement, priority issues and lessons learnt in these regions are compared, and future opportunities identified."
"400",95440675,156433,TRUE,FALSE,"University Experiences of Marine Science Research and Outreach Beyond the Classroom","Climate and ocean literacy are two of the most important challenges facing society today. However, many students lack exposure to these topics upon entering college. As a result, these students must rely on learning climate literacy and ocean conservation through experiences outside of those provided in the traditional undergraduate classroom. To fill this gap, we initiated a marine science professional development program to expose undergraduate students to ocean literacy principles and climate change concepts through marine ecology research and educational outreach. This study evaluates the effects of our undergraduate experiential learning for individuals involved in our research team, our educational outreach team, or both. Clemson University alumni that participated in our program were surveyed to determine educational and professional gains in three areas related to: (1) knowledge; (2) careers; and (3) attitudes. Multiple linear and logistic regressions were used to understand the relationships between gains and program type, mentor experience, and duration of program enrollment. In addition, we evaluated demographic covariates including age, ideology, and gender. Our study found that perceived knowledge of marine science and science communication skills increased with positive mentor experience. Alumni that rated their experience with their mentors highly also indicated that the program was important to their careers after graduation. Students who participated in any program for a prolonged period were more likely to indicate that marine science was important to their careers. These students were also more likely to continue their education. Additionally, we saw that a sense of belonging and identity in science, as well as the understanding of climate change threat on the marine environment, all increased with longer program involvement, more than the type of experience (research versus outreach). Overall, we found that both the research and outreach programs offered opportunities for advancements in knowledge, careers, and attitudes. These results provide evidence that experiential learning has the potential to increase student engagement and understanding of climate change and ocean literacy communication as well as a sense of belonging in science-oriented fields."
"412",95440687,244083,FALSE,TRUE,"Potential adaptation strategies for climate change impact among flood-prone fish farmers in climate hotspot Uganda","Climate-induced floods are increasing in Africa. The need to evolve framework for adaptation to climate change impact (CCI) among flood-prone fish farmers necessitated this study. Based on availability, 60 farming active flood-experienced fish farmers were purposively selected from flood-prone (Gulu and Kibuku) regions in climate hotspot Uganda. These were assessed for CCI adaptation tendencies in their socioeconomics and farming operation/techniques (FOI) indices, CCI awareness, CCI adaptation strategies, and perceived required interventions (RIs) using structured questionnaire. Data were analyzed through descriptive and multivariate regression tools. Respondents were mostly male, adults, educated, Christian, married, medium-sized family, social group members, 1-5 years' experience, medium-sized farms, and government trained. Income was 1.0-6.0 million Ugx/year. In FOI, semi-intensive culture system, use of rainwater plus groundwater, small-sized (< 0.5 ha) ponds, ponds possession of inlets and outlets, seasonal farming and mixed culture/farming dominated. Most respondents were aware of CCI, while erratic rainfall with floods and prolonged drought mostly impacted farming. AS-Adaptation Strategy were changed stocking time and livelihood diversification. Communication technology and social group's membership enhanced adaptation, while inadequate awareness constrains adaptation. Respondents' RI(s) were tree planting, irrigation and pond perimeter trenching. Gender, government training, farm size, water sources and presence of inlet and outlets in ponds (FOI) predicted adaptation (R = 0.802, R-2 = 0.64, P < 0.05). Some socioeconomic, technical and awareness indices could assist CCI flexibility. However, the statistically significant predictors of adaptation, identified adaptive strategies, constraints to adaptation and required interventions could be integrated into a framework for effective CCI adaptation for sustainable fish farming in flood-prone scenarios."
"415",95440690,1613,TRUE,FALSE,"Capacities in Facing Natural Hazards: A Small Island Perspective","Isolated communities on small islands are often characterized as vulnerable and marginalized. We studied the recent history of Laingpatehi, a village on Ruang Island off the north coast of Sulawesi, Indonesia to show that the marginalization-vulnerability nexus can be offset by capacity and social cohesion to enable sustainable livelihoods. The island has been impacted by volcanic eruptions, earthquakes, and competition for marine resources from mainland-based fishermen. The community has shown a remarkable ability to cope and prosper in the face of a series of external hazards. We used a sustainable livelihoods approach to identify the assets that enabled the villagers to cope. Strong social cohesion was central to the ability to organize the community and confront hazards. A diversified livelihood strategy drawing on the small island environment and its coastal and marine resources, income generating activities in a distant satellite village, and significant remittances from employment in other parts of Indonesia underpinned people's capacities to face hazards. Government assistance played a supporting role. The case of Laingpatehi demonstrates how remoteness, rather than being a source of vulnerability, can provide access to existing resources and facilitate innovation. Disaster risk reduction strategies should focus more on reinforcing these existing capacities to deal with hazards and less on physical protection and postdisaster responses."
"416",95440691,8211,FALSE,TRUE,"Perceived Vulnerability and Climate Change Impacts on Small-Scale Fisheries in Davao Gulf, Philippines","The small-scale fisheries play a critical role in food security and income of coastal fishing communities. However, climate variability and its impacts are affecting fishers, their communities, and fishing grounds. This study aimed to determine the perceived impacts of climate change and vulnerability of small-scale fisheries in selected fishing communities around the Davao Gulf. A semi-structured questionnaire was used to gather data on the perceptions of fishers (N = 220) on the impacts of climate change on their livelihood and communities. Seven focus groups corroborated the collected data and conclusions reached (N = 15). Principal component analysis (PCA) was used to reduce the sources of vulnerability and number of impacts of climate change. Regression was used to determine factors influencing the catch per unit effort (CPUE). The PCA results showed that for the vulnerability, the sources, coral bleaching, inadequate food, lack of credit access, changes in weather pattern and hotter temperature contributed highly. For the climate change impacts, the factors, less seasonality, unclear reproductive patterns, diseases in the catch, invasive species, decrease in catch and venturing farther to fish offshore were substantially influential. Further analysis showed that disease and invasive species, decrease in fish catch, fishing farther offshore, and monthly income affected the CPUE of the fisheries. Recommendations for climate change vulnerability reduction based on the conclusions reached in this study include more financial credit access, apprehension of illegal fishers, increased capacity building and technical skills for coastal communities, supplemental livelihoods, and information dissemination on climate change adaptation strategies."
"418",95440693,10180,TRUE,FALSE,"Storm risk and marine fisheries: a global assessment","Coastal storms can affect marine fisheries in multiple ways and have the potential to negatively affect the socioeconomic well-being of fishery dependent coastal nations. To date, storm risk to marine fisheries is poorly understood. This study provides a global assessment of coastal nations' risk to storm impacts on their fisheries. We calculated a risk index of coastal nations to storms using the 5th IPCC risk framework. We find that tropical countries in the Caribbean, South- East Asia, and Oceania are most at risk, with multiple Small Island Developing States ranking the highest. Most coastal nations in Africa ranked low for overall risk, due to low exposure, but highest in terms of vulnerability. In addition, we detect a positive correlation between fishery specific adaptive capacity and the general adaptive capacity of coastal countries, suggesting that the capacities of fisheries to respond to climate change might be related to broader national adaptation capacities. The index provides can be used to guide the development of targeted strategies for increasing adaptive capacity of fishery dependent nations to storms, which are a significant threat to the well-being of coastal nations."
